comuna	sexo	p50	p25	p75	p100	n
Pichidegua	Hombre	74	61	84	102	884
Rengo	Hombre	73	61	83	104	2095
Coltauco	Hombre	74	61	84	99	733
Ñuñoa	Hombre	79	67	88	105	6446
La Granja	Hombre	70	59	81	103	4444
Los Álamos	Mujer	76	64	86	106	597
Monte Patria	Hombre	77	62	84	100	1015
San Rafael	Hombre	74	63	83	100	367
Peralillo	Hombre	75	60	86	104	449
Quellón	Hombre	65	51	78	99	883
Retiro	Hombre	74	64	83	104	830
San Pablo	Hombre	75	61	84	107	552
La Cisterna	Mujer	84	74	90	108	4014
Talcahuano	Hombre	72	61	82	108	5821
Olmué	Hombre	75	65	84	100	642
Quirihue	Mujer	82	71	89	103	478
Cabildo	Hombre	75	61	83	101	732
Litueche	Hombre	75.5	64	85	101	280
Frutillar	Hombre	71	58	82	105	756
Longaví	Mujer	77	66	86	105	936
Monte Patria	Mujer	82	68	89	105	904
Placilla	Mujer	78.5	65	88	102	290
Collipulli	Hombre	72	60	82	102	1020
Villa Alemana	Hombre	76	64	85	108	4390
La Unión	Hombre	73	61	83	102	1769
Calera	Mujer	79	69	87	105	1918
Galvarino	Hombre	74	60	84	102	613
Las Condes	Hombre	81	71	88	114	8841
Curanilahue	Hombre	71	59	82	102	1266
Corral	Hombre	77	65	84	106	259
Ignorada	Mujer	26	20	41	56	13
Los Vilos	Hombre	73	60	83	101	793
Concepción	Mujer	81	70	89	116	7715
Puyehue	Hombre	71	58	82.5	101	547
El Monte	Mujer	80	66	88	105	940
Saavedra	Mujer	81	69	88	105	538
Tirúa	Hombre	68	50	81	99	434
Melipilla	Mujer	80	66	88	105	3933
Llaillay	Hombre	74	62	83	104	962
Illapel	Hombre	74	63	83	101	1220
Llanquihue	Hombre	73	60	82	101	636
Teodoro Schmidt	Mujer	80	69	88.75	106	610
Talagante	Hombre	73	61	82	105	2343
Lebu	Hombre	74	59	84	103	1008
Macul	Hombre	76	63	85	106	4005
Aisén	Hombre	66	52	79	101	853
Providencia	Hombre	79	67	88	106	5096
San Ramón	Hombre	72	59	81	104	3827
Angol	Mujer	80	68.25	88	109	1930
Paredones	Mujer	83	73	90.25	104	248
Gorbea	Hombre	76	62	84	103	768
Chañaral	Hombre	72	61	81	102	481
Cartagena	Hombre	72	59	82	99	1062
Las Cabras	Hombre	75	62	85	113	982
San Pedro de la Paz	Mujer	77	64	87	105	3209
La Cisterna	Hombre	76	64	85	102	3741
Chillán	Mujer	79	67	88	111	6368
Curarrehue	Hombre	74	58	83	100	305
La Florida	Mujer	80	69	88	107	11571
San Miguel	Mujer	84	72	90	110	5032
Coihaique	Mujer	77	63	87	108	1265
Taltal	Hombre	71	57	81	97	433
San Rosendo	Hombre	73.5	60	81.75	97	170
San Pedro de Atacama	Hombre	62.5	43.5	77	102	200
El Tabo	Hombre	73	63	82	102	574
Concón	Hombre	73	62	83	101	1225
Santa María	Hombre	77	63	84	107	525
Purén	Hombre	75	60	84	102	610
San Pedro	Mujer	79	66	89	102	263
El Bosque	Hombre	71	58	81	107	5747
Paillaco	Mujer	81	69	88	105	773
San Felipe	Hombre	73	60	83	105	2819
San Carlos	Hombre	74	62	83	105	2461
Fresia	Hombre	72	59.25	82	102	638
Peumo	Hombre	74	62	83	105	597
Antuco	Hombre	78	65	85	101	185
Limache	Hombre	76	65	84	104	2127
Ancud	Hombre	73	60	83	106	1802
San Juan de la Costa	Hombre	71	56	82	102	526
Padre Las Casas	Hombre	72	57	82	107	2539
Providencia	Mujer	87	78	93	111	6663
Mejillones	Hombre	67	52.75	78	100	292
Parral	Hombre	74	61	83	105	1802
El Quisco	Hombre	74	62	82	101	688
Vilcún	Hombre	72	59.25	83	100	1042
Malloa	Hombre	72.5	60	82.25	101	560
Los Ángeles	Mujer	79	66	87	109	5886
Pelarco	Hombre	76	62.25	86	100	322
Ránquil	Hombre	75	62	83	101	329
Pucón	Mujer	81	70	89	104	765
Cabrero	Hombre	72	60	83	109	1045
Talca	Mujer	79	68	87	110	7308
Pozo Almonte	Hombre	67	54.5	79	103	383
La Serena	Mujer	80	67	88	107	6427
Osorno	Mujer	79	68	88	114	5956
La Estrella	Hombre	75.5	64	85.75	98	166
San Ignacio	Mujer	78	66	86.25	104	548
Buin	Mujer	78.5	65	87	107	2404
Nueva Imperial	Hombre	74	60	83	106	1600
Peñaflor	Mujer	79	67	88	114	2643
Pinto	Hombre	73.5	59	82	103	522
Renaico	Hombre	72	59	81	102	409
Las Cabras	Mujer	79	66	87	103	754
Santa Juana	Hombre	74	62	83	105	697
San Joaquín	Mujer	82	71	89	106	3786
Diego de Almagro	Hombre	72	54.5	83	106	335
Punta Arenas	Mujer	80	68	88	110	4373
Constitución	Hombre	70	57	81	102	1590
Padre Hurtado	Hombre	72	58	81	104	1813
San Vicente	Hombre	75	62	84	106	1767
Vallenar	Hombre	75	62	83	103	1949
Paillaco	Hombre	75	61	84	104	1021
Limache	Mujer	82	72	89.5	108	1975
Codegua	Hombre	73	59	84	98	454
Chonchi	Hombre	70	54	81	100	565
Colina	Mujer	75	61	85	108	2437
Pichilemu	Hombre	71	59	82	99	640
Cerro Navia	Mujer	77	66	86	106	4814
Cunco	Hombre	76	62	84	102	904
Graneros	Mujer	77	66	86	104	875
Nueva Imperial	Mujer	81	69	89	107	1257
Coihueco	Mujer	79	65	87	107	776
Curacaví	Mujer	77	66	87	107	977
Yumbel	Hombre	73	62	83	100	1047
Yerbas Buenas	Hombre	73	62	83	104	711
Villa Alegre	Hombre	75	64	84	99	676
Hualpén	Mujer	79	69	87	106	2941
Calbuco	Mujer	82	70	89	112	1090
Penco	Hombre	71	60	81	104	1574
San Esteban	Hombre	75	65	85	102	603
Hualqui	Mujer	79	68	88	106	731
Huara	Mujer	80	64	89	98	45
Nacimiento	Hombre	74	60	83	106	1019
Río Negro	Hombre	73	62	83	101	689
La Cruz	Hombre	76	65	84	103	605
Illapel	Mujer	82	70	89	108	1042
Andacollo	Hombre	75	61	84	104	431
Cunco	Mujer	82	71	89	109	764
San Ignacio	Hombre	72	60	82	100	806
Macul	Mujer	83	72	90	108	4180
Putaendo	Hombre	75	63	84	104	768
Porvenir	Hombre	71.5	57	81	100	230
Doñihue	Hombre	72	59	83	102	687
Mejillones	Mujer	74	61	83	101	221
Rauco	Hombre	73	59	83	103	429
Puqueldón	Hombre	70	53	83	102	177
Mulchén	Hombre	74	61	83	107	1199
Florida	Hombre	75	65	83	99	522
Machalí	Hombre	72	60	82	102	1257
María Elena	Hombre	66	55.5	74.5	90	111
Requínoa	Mujer	77	65	86	110	572
Los Lagos	Hombre	72	59	82	101	841
Coelemu	Hombre	74	61	83	104	706
Isla de Maipo	Hombre	73	60	82	109	1065
Coihueco	Hombre	73	61	82	103	988
Cisnes	Mujer	77	61.25	86	104	90
Lo Espejo	Mujer	80	67	88	118	3738
Canela	Hombre	79	64	88	104	412
Pemuco	Hombre	74	60	83.25	107	388
Casablanca	Hombre	76	64	85	104	978
Ancud	Mujer	79	68	87	109	1431
Calera de Tango	Mujer	81	68	88	103	569
Nogales	Mujer	81	69	88	104	746
Chépica	Hombre	76	63	85	104	696
Melipeuco	Hombre	77	63	86	101	309
Algarrobo	Mujer	81	69	90	105	480
Alto Biobío	Hombre	62	40.25	75	97	234
Pucón	Hombre	71	56	82	105	905
Graneros	Hombre	71	57	82	100	1058
Lampa	Mujer	74	60	85	103	1886
Chiguayante	Mujer	80	68	88	109	2498
Hualpén	Hombre	73	60	82	103	2999
Marchihue	Mujer	81.5	71.75	90	102	256
El Carmen	Hombre	74	60	83	98	639
Pitrufquén	Hombre	75	62	83	104	1193
Chaitén	Hombre	68	56	82	103	153
Catemu	Mujer	80	67	88	101	405
Mariquina	Mujer	79	67	87	105	681
Tomé	Mujer	80	69	88	108	2028
Cerrillos	Mujer	80	68	88	109	2337
Punitaqui	Hombre	76	63	84	100	423
Yerbas Buenas	Mujer	77	65	87	105	524
Isla de Maipo	Mujer	78	66	87.25	105	896
Paine	Mujer	78	65	87	105	1693
La Reina	Mujer	85	76	92	111	3603
Requínoa	Hombre	73	59	83	102	825
El Carmen	Mujer	80	69	88	105	460
Cochrane	Hombre	71	59	83	99	103
Quirihue	Hombre	74	61	84	100	677
Laja	Hombre	74	61	83	100	902
Ñuñoa	Mujer	86	77	92	110	8764
Saavedra	Hombre	72	56	83	104	836
Vicuña	Mujer	80	68	89	105	785
Yungay	Hombre	75	63	83	104	773
Quemchi	Hombre	75	56	83	100	397
Rinconada	Hombre	75	64	84	100	314
Lautaro	Hombre	72	60	83	104	1509
Chimbarongo	Hombre	74	61	84	102	1373
Santa Cruz	Mujer	79	68	88	108	1312
Renca	Mujer	76	64	86	110	3948
Rancagua	Mujer	78	65	87	110	7689
Huechuraba	Mujer	77	67	85	106	2549
Pedro Aguirre Cerda	Hombre	72	60	83	103	4675
Independencia	Mujer	82	70	90	121	4535
Ovalle	Hombre	75	61	85	107	3987
Santo Domingo	Hombre	77	61	84.75	100	342
Tiltil	Mujer	77	64	86	102	467
Cisnes	Hombre	68	53	81	98	187
Iquique	Mujer	78	65	87	106	5212
Natales	Hombre	72	61	82	99	1007
Purranque	Mujer	80.5	71.25	87	104	778
Negrete	Hombre	73	60	83	102	437
Pirque	Hombre	75	64	84	103	723
Carahue	Hombre	71	57	82	106	1224
Pumanque	Hombre	78	66	86	105	174
Purranque	Hombre	73	61	83	103	998
Rinconada	Mujer	81	68.5	87.5	104	239
Caldera	Hombre	70	57.5	80	100	539
Tucapel	Mujer	81	71	88	103	583
Pichidegua	Mujer	79	66	87	100	586
Cholchol	Hombre	75	61	84	103	528
Tocopilla	Mujer	78	66	86	101	898
Colbún	Hombre	75	65	83	117	846
Doñihue	Mujer	79	66	87	101	587
Alhué	Hombre	73	60.5	84	99	219
Victoria	Mujer	80	68	88	104	1356
Lolol	Hombre	77	66	86.75	102	286
Toltén	Hombre	75	61	85	102	525
Mostazal	Mujer	77	64	86	105	693
San Vicente	Mujer	80	68	88	106	1458
Tirúa	Mujer	73	60	84	111	318
Lanco	Hombre	73	62	84	102	780
Nacimiento	Mujer	78	67.75	87	107	820
Calera de Tango	Hombre	72	60	82	102	721
Los Muermos	Hombre	72	60	82	102	812
Quinta de Tilcoco	Hombre	73.5	61	83	100	520
Laja	Mujer	78	66	86	104	771
Quinta Normal	Mujer	82.5	71	89	113	4512
Pitrufquén	Mujer	82	69	89	107	973
Empedrado	Hombre	75	64	83	105	146
Quellón	Mujer	76	59	87	102	596
San Clemente	Mujer	77	64.5	86	108	1203
San Felipe	Mujer	81	69	88	107	2627
Tocopilla	Hombre	70	60	80	99	1037
Diego de Almagro	Mujer	78	63.25	86	108	226
Castro	Mujer	80	68	88	108	1597
Chonchi	Mujer	80	69	88	102	498
Aisén	Mujer	77	64	86	105	562
Llaillay	Mujer	79	68	87	108	845
Tierra Amarilla	Hombre	68	53	81	95	384
Lautaro	Mujer	79	65	87	104	1274
Chépica	Mujer	80	68	88	105	540
Cañete	Mujer	77	65	86	105	1153
Queilén	Hombre	69	55	83	102	265
Lumaco	Hombre	72	56	83	98	429
Papudo	Hombre	74	59	82	98	221
Putaendo	Mujer	80	69	87	103	658
Salamanca	Hombre	76	64	84	108	949
Bulnes	Hombre	74	62	83	103	951
Collipulli	Mujer	76	63	86	103	781
San Esteban	Mujer	80	67	88	106	533
Punitaqui	Mujer	81	69.75	88	104	308
Curacautín	Mujer	81	70	88	105	710
Treguaco	Hombre	74	60	82	100	249
Isla de Pascua	Hombre	68	56	75	99	181
Lebu	Mujer	77	65	87	109	868
Río Claro	Hombre	74	61	84	101	531
Chillán Viejo	Hombre	73	60	82	102	796
Rengo	Mujer	79	67	87	111	1819
Panguipulli	Mujer	79	66	87	106	1176
Palena	Hombre	71	62	82	101	75
Hualañé	Hombre	76.5	65	85	106	492
Coinco	Hombre	76	63	84	105	313
Maullín	Mujer	79	67.75	87.25	107	496
Río Negro	Mujer	79	68	87	107	545
Maule	Mujer	75	62	85	107	800
Los Muermos	Mujer	79	66	87.5	102	591
Río Ibáñez	Hombre	74	61	83	98	147
Paredones	Hombre	78	65	86	103	306
Lago Ranco	Hombre	71	57	82	100	546
Palmilla	Hombre	75.5	61	84	100	466
La Ligua	Mujer	80	68	87	107	1151
Pichilemu	Mujer	79	67	88	104	525
Pica	Hombre	75	62	86	99	151
Portezuelo	Hombre	73	62	84	97	268
San Fabián	Hombre	76	61.75	84	101	192
Calle Larga	Hombre	74	59	83	101	399
Petorca	Hombre	75	63	83	101	427
Quintero	Mujer	79	67	87	105	986
Zapallar	Hombre	75	62.5	84	100	267
Maule	Hombre	69	57	81	105	991
Combarbalá	Hombre	78	68	85.75	102	682
Molina	Mujer	78	67	87	106	1541
Chimbarongo	Mujer	77	65	87	104	1034
Dalcahue	Hombre	73	56.5	83	104	503
Curanilahue	Mujer	77	64	86	104	1076
Pirque	Mujer	80	66	88	106	646
Vichuquén	Hombre	75.5	64.25	85	95	158
Sagrada Familia	Hombre	74	61	83	100	727
Santa María	Mujer	81	68.25	88	104	426
Peralillo	Mujer	78	67.5	88	110	371
Contulmo	Hombre	72	59	83	101	323
Lonquimay	Hombre	73	55.5	83	98	419
Licantén	Hombre	75	65	85	101	314
Colbún	Mujer	79	66	88	108	609
Placilla	Hombre	74	60	85	106	360
Puerto Varas	Mujer	80	69	88	106	1074
Padre Las Casas	Mujer	79	66	87	111	2175
Futaleufú	Hombre	74	57	83	104	85
Ercilla	Mujer	77	63	86	101	337
La Higuera	Hombre	74	64	84	97	129
Maullín	Hombre	74	61	83	103	666
Constitución	Mujer	77	64	86	106	1275
Traiguén	Mujer	81	70	88	105	924
Pelluhue	Hombre	74	60	84	100	300
Chanco	Mujer	81	68	89	102	339
Peumo	Mujer	79	65	88	106	463
Pemuco	Mujer	80	68.5	88	100	295
San Nicolás	Hombre	74	61	82	100	460
Santa Juana	Mujer	79	68	87	106	505
Huasco	Hombre	72	58.5	83	99	355
Taltal	Mujer	78	63	87	102	335
Cabrero	Mujer	78	67	87	112	869
Máfil	Hombre	71	57	84.25	101	284
Los Lagos	Mujer	77	65	87	104	639
El Tabo	Mujer	79	67.75	87	104	432
Quinchao	Hombre	71	53.75	81.25	100	408
Curepto	Hombre	78	66	84	102	530
Alto del Carmen	Hombre	79	67	86	107	190
Chañaral	Mujer	77	65	85.5	100	391
Santo Domingo	Mujer	81	68	89	104	295
Villarrica	Mujer	79	67	88	115	1750
Huara	Hombre	72.5	56	83.75	106	70
Puchuncaví	Hombre	74	61	82	103	771
Ñiquén	Hombre	75	64	85	105	516
Carahue	Mujer	80	68	88	110	882
Natales	Mujer	78	67	87	105	738
Vilcún	Mujer	78	66	87	104	851
Vallenar	Mujer	80	67	88	105	1722
Lanco	Mujer	79	68	87	104	639
Algarrobo	Hombre	74	63	83	101	580
Curepto	Mujer	83	74	90	103	406
Curaco de Vélez	Hombre	74	58	83	102	137
Chile Chico	Hombre	70	56	81	102	212
Lo Prado	Mujer	80	70	87	105	3330
Coltauco	Mujer	78	68	88	106	589
Cobquecura	Hombre	76	63	84	99	274
La Unión	Mujer	80	69	88	111	1384
Talagante	Mujer	79	66	87	106	2037
Perquenco	Hombre	74	60.5	83	101	295
Río Claro	Mujer	77	65	85	101	348
San Pedro de Atacama	Mujer	76	55.25	88	105	152
Hualañé	Mujer	80	68	88	104	337
Toltén	Mujer	82	72	89	105	371
Navidad	Hombre	78	66	86	100	346
Puyehue	Mujer	78	65	87	102	381
Puchuncaví	Mujer	82	71	88	103	591
Vitacura	Mujer	87	76	93	110	2769
Juan Fernández	Hombre	78	67.5	86.5	89	19
Olivar	Mujer	78	66	88	104	353
Purén	Mujer	80	67	88	106	453
Salamanca	Mujer	80	69	88	103	789
Arauco	Mujer	80	67	88	106	1002
Frutillar	Mujer	79	67	88	101	581
Tierra Amarilla	Mujer	76	60.5	87	104	247
Queilén	Mujer	83	68.5	91	108	171
Machalí	Mujer	78	65	86	108	1134
Puerto Octay	Mujer	79.5	66	87	103	234
Curarrehue	Mujer	77	63	86	102	217
Retiro	Mujer	79	67	87	109	610
María Pinto	Mujer	78	64.75	87	103	356
Cochrane	Mujer	79	64	88	106	71
Quinta de Tilcoco	Mujer	78	65	89	102	376
Pinto	Mujer	81	72	89	108	401
Quilaco	Hombre	78	68	85	100	193
Chile Chico	Mujer	79	68.25	87	102	102
Colchane	Hombre	64.5	44.5	85.25	97	24
Pelluhue	Mujer	81	69	90	100	210
Gorbea	Mujer	83	71	90	104	608
Treguaco	Mujer	81	67	90	102	181
Futaleufú	Mujer	81	64	87.5	103	71
Concón	Mujer	81	68	88.25	109	1176
Andacollo	Mujer	79	67	88	105	343
Pica	Mujer	82.5	63	89.25	102	144
Quilaco	Mujer	79	70	87	114	157
Negrete	Mujer	79	65	87	106	295
Río Hurtado	Hombre	80	69	88	102	190
Loncoche	Mujer	81	69.25	87.75	105	902
Freirina	Hombre	74	63	84	97	269
Mulchén	Mujer	80	67	87	105	1029
Antuco	Mujer	82	71	88	101	155
Freire	Mujer	81	70	88	105	896
Ránquil	Mujer	81	70	88	101	255
Chaitén	Mujer	76	57.5	86.75	98	94
Parral	Mujer	80	69	88	109	1448
Huasco	Mujer	78	64	88	102	297
Máfil	Mujer	80	67	88	104	265
San Juan de la Costa	Mujer	77	65	87	105	331
Camiña	Mujer	86	82.75	86.75	96	14
Licantén	Mujer	83.5	71.25	90	108	246
Lolol	Mujer	81.5	68.25	90	102	226
Dalcahue	Mujer	83	70	89	107	422
Calle Larga	Mujer	78	68	87	103	343
La Cruz	Mujer	80	68	88	109	543
Hijuelas	Mujer	78	66	87	105	493
Chillán Viejo	Mujer	79	66	88	104	727
Paiguano	Hombre	77	65	86	100	162
Panquehue	Mujer	79	69	87	107	211
Coinco	Mujer	81	70	89	106	195
Casablanca	Mujer	81	68	89	103	796
Coelemu	Mujer	80	70	87	107	609
Renaico	Mujer	77.5	66.25	86	102	338
Empedrado	Mujer	81.5	67	88	97	102
Río Hurtado	Mujer	82	68	89	105	194
Navidad	Mujer	83	73	90	103	249
Rauco	Mujer	79	68	88	110	334
Romeral	Mujer	79	65	87.5	102	363
Santa Bárbara	Mujer	80	70	89	109	504
Canela	Mujer	84.5	72.5	90	103	322
Pumanque	Mujer	83	76.25	90	105	114
Alto del Carmen	Mujer	80	69	88	104	161
Sierra Gorda	Mujer	63	46.5	74.75	92	18
Putre	Mujer	86	75	92	100	17
Porvenir	Mujer	79	68.75	86	102	140
Curaco de Vélez	Mujer	84	75	91	102	161
Lonquimay	Mujer	78	64.75	87	107	292
Zapallar	Mujer	81	69.25	89	107	206
Cholchol	Mujer	82	72	89	103	444
Tortel	Mujer	73	68	83	92	7
Palmilla	Mujer	79	67	87	102	321
Hualaihué	Mujer	77	65	87	102	247
Quinchao	Mujer	83	74	90	104	328
Portezuelo	Mujer	80	72	87	104	193
Panquehue	Hombre	75	62	84	97	263
Paiguano	Mujer	83	74	90	102	122
Caldera	Mujer	77	62	86	104	395
Isla de Pascua	Mujer	71	61	80	103	135
O'Higgins	Hombre	73	66.5	83	87	11
Ñiquén	Mujer	81.5	70	88	101	388
Codegua	Mujer	77	64	86	102	340
Nancagua	Mujer	79	67	87	106	581
Primavera	Hombre	69.5	56.5	80.25	81	4
Pelarco	Mujer	79	69	88	110	253
San Rosendo	Mujer	79	68	85	101	152
San Rafael	Mujer	78	66.25	86	98	238
Vichuquén	Mujer	83	68.75	89	105	152
Colchane	Mujer	65	38	86.5	97	19
María Elena	Mujer	67	57.5	78.25	100	68
Corral	Mujer	79	70	87	101	182
Lumaco	Mujer	76	62	88	105	321
Puqueldón	Mujer	85	73.75	91	109	160
Litueche	Mujer	80	68.75	89	103	196
Antártica	Hombre	55	54.5	57.5	60	3
Ninhue	Mujer	80	69	88	105	225
Freirina	Mujer	79	63	88	102	177
Futrono	Mujer	77	65	85	103	460
Quilleco	Mujer	80	70	88	104	339
La Higuera	Mujer	78	66.5	86.5	105	79
Papudo	Mujer	79	64	87	101	197
Lago Verde	Hombre	77.5	63	84.75	100	34
La Estrella	Mujer	83	77	91	100	125
Sierra Gorda	Hombre	62.5	52	74.5	88	28
O'Higgins	Mujer	82	61.75	88.75	97	4
Cochamó	Mujer	83.5	75	89	101	114
Timaukel	Hombre	33.5	30.75	36.25	39	2
Cobquecura	Mujer	83	68.75	91	103	196
Camarones	Hombre	76	62.75	80	93	12
Pencahue	Mujer	82	71	91	107	237
Torres del Paine	Hombre	68	56.75	73.25	88	6
Ollagüe	Mujer	80	67	86.5	93	3
Talca	Indeterminado	0	0	0	0	4
Villa Alegre	Indeterminado	0	0	0	0	1
Penco	Indeterminado	0	0	0	0	1
